symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
LTTS,Technology,Information Technology Services,3333.2,0.81,11.99,28.68,50.9,3350.49,3735.15,0.32,Bearish,30.0,"Healthy RSI momentum, Near 52W low zone, Positive day move",8.0,0.26,,,IT / Technology,33.0,0.0,33.0,8.91,11.68,2.6,12.8,,,0.57,26.28,11.0,"Below 200 DMA, Low volume participation",13.99,Avoid,"Healthy RSI momentum, Near 52W low zone, Positive day move"
ADANIGREEN,Utilities,Utilities - Renewable,1472.3,-4.51,92.46,9.76,44.37,1485.86,1135.02,1.45,Bearish,33.0,"Above 200 DMA, Weak but watchable RSI, Volume expansion",0.0,-2.57,,,Energy / Utilities,30.0,0.0,30.0,346.55,13.1,16.6,18.5,,,0.5,21.39,8.0,Very high debt,13.96,Avoid,"Above 200 DMA, Weak but watchable RSI, Volume expansion"
SBGLP,Real Estate,Real Estate - Development,25.52,-0.35,39.07,44.36,52.03,25.6,29.72,0.25,Bearish,20.0,Healthy RSI momentum,8.0,0.43,,,Cement / Realty,64.0,2.0,66.0,75.19,26.51,174.7,101.2,-6.2,-14.92,1.0,25.49,20.0,"Below 200 DMA, Low volume participation, Negative operating cash flow, Negative free cash flow",13.92,Avoid,Healthy RSI momentum
NAVKARCORP,Industrials,Integrated Freight & Logistics,98.97,-4.86,33.65,29.41,40.02,102.76,101.37,0.92,Bearish,8.0,Weak but watchable RSI,0.0,-7.96,,,Capital Goods / Infra,41.0,5.0,46.0,9.05,5.38,38.3,412.5,,,0.5,25.48,8.0,Below 200 DMA,13.92,Avoid,Weak but watchable RSI
CLEAN,Basic Materials,Specialty Chemicals,737.85,-2.47,13.17,43.55,41.83,771.56,832.51,0.71,Bearish,13.0,"Weak but watchable RSI, Near 52W low zone",0.0,-8.08,,,Chemicals,40.0,2.0,42.0,0.14,23.72,10.5,4.7,,,0.57,26.45,8.0,Below 200 DMA,13.92,Avoid,"Weak but watchable RSI, Near 52W low zone"
IMPAL,Consumer Cyclical,Auto Parts,1077.3,-1.49,18.45,11.27,46.04,1075.02,1026.14,0.44,Bullish,47.0,"Above 50 DMA, Above 200 DMA, RSI recovering, Near 52W low zone",0.0,-3.71,,,Automobile,15.0,0.0,15.0,,10.67,,,,,0.36,26.13,7.0,"Low volume participation, Limited fundamental data coverage",13.92,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering, Near 52W low zone"
SANDESH,Communication Services,Publishing,973.15,-0.85,19.99,32.21,46.81,980.67,1037.39,0.66,Bearish,17.0,"RSI recovering, Near 52W low zone",0.0,-0.67,,,Telecom,39.0,2.0,41.0,0.34,19.65,2.6,-3.0,,,0.57,22.03,8.0,Below 200 DMA,13.9,Avoid,"RSI recovering, Near 52W low zone"
SILINV,Financial Services,Asset Management,420.7,-0.58,10.71,45.15,47.23,424.72,483.65,0.91,Bearish,17.0,"RSI recovering, Near 52W low zone",0.0,-1.28,,,Financial Services,44.0,-5.0,39.0,,60.24,,,47.77,,0.71,26.61,8.0,Below 200 DMA,13.89,Avoid,"RSI recovering, Near 52W low zone"
IRIS,Technology,Software - Application,237.45,-0.21,16.97,39.89,36.8,250.98,274.02,0.46,Bearish,13.0,"Weak but watchable RSI, Near 52W low zone",0.0,-10.6,,,IT / Technology,62.0,0.0,62.0,0.83,98.44,13.0,47.3,105.06,-2.35,0.93,26.28,15.0,"Below 200 DMA, Low volume participation, Negative free cash flow",13.89,Avoid,"Weak but watchable RSI, Near 52W low zone"
LGBBROSLTD,Consumer Cyclical,Auto Parts,1547.7,0.34,28.3,24.43,45.58,1552.55,1701.65,0.69,Bearish,17.0,"RSI recovering, Positive day move",0.0,-0.54,,,Automobile,37.0,2.0,39.0,10.72,9.91,21.6,0.0,,,0.57,26.13,8.0,Below 200 DMA,13.82,Avoid,"RSI recovering, Positive day move"
LTFOODS,Consumer Defensive,Packaged Foods,378.65,-0.36,13.96,25.37,45.21,386.94,396.13,0.58,Bearish,17.0,"RSI recovering, Near 52W low zone",0.0,-0.12,,,FMCG / Consumer,37.0,3.0,40.0,28.49,5.49,23.8,70.7,,,0.57,23.41,8.0,Below 200 DMA,13.76,Avoid,"RSI recovering, Near 52W low zone"
MUFIN,Financial Services,Credit Services,126.63,-1.42,52.58,8.24,45.75,125.79,113.83,0.5,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",0.0,-1.37,,,Financial Services,34.0,1.0,35.0,243.19,33.81,5.6,200.0,-695.01,,0.86,26.61,13.0,"Very high debt, Negative operating cash flow",13.74,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering"
EPIGRAL,Basic Materials,Chemicals,1138.8,-2.18,41.73,45.9,57.59,1124.98,1214.11,0.76,Bullish,35.0,"Above 50 DMA, Healthy RSI momentum",8.0,2.19,,,Chemicals,38.0,2.0,40.0,25.75,10.32,16.3,-37.9,,,0.57,26.45,15.0,"Below 200 DMA, Earnings contraction",13.72,Avoid,"Above 50 DMA, Healthy RSI momentum"
INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,233.2,-5.14,43.78,30.55,44.39,228.2,229.58,0.5,Bullish,38.0,"Above 50 DMA, Above 200 DMA, Weak but watchable RSI",0.0,-1.4,,,Pharma / Healthcare,13.0,0.0,13.0,116.91,0.3,6.8,,,,0.5,31.13,5.0,Sharp daily fall,13.72,Avoid,"Above 50 DMA, Above 200 DMA, Weak but watchable RSI"
EUREKAFORB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",447.7,-3.49,11.04,33.01,43.44,460.2,520.44,0.37,Bearish,13.0,"Weak but watchable RSI, Near 52W low zone",0.0,-4.48,,,Consumer Discretionary,48.0,2.0,50.0,0.63,6.0,11.6,2.7,250.2,81.28,0.93,26.13,11.0,"Below 200 DMA, Low volume participation",13.67,Avoid,"Weak but watchable RSI, Near 52W low zone"
RELCHEMQ,Consumer Cyclical,Textile Manufacturing,129.64,0.4,23.45,31.56,45.58,129.32,131.96,2.05,Bullish,52.0,"Above 50 DMA, RSI recovering, Near 52W low zone, Strong volume expansion, Positive day move",0.0,-4.69,,,Consumer Discretionary,25.0,0.0,25.0,187.46,1.45,7.3,-5.3,21.65,-9.17,1.0,26.13,12.0,"Below 200 DMA, Negative free cash flow",13.67,Avoid,"Above 50 DMA, RSI recovering, Near 52W low zone, Strong volume expansion, Positive day move"
SHREYANIND,Basic Materials,Paper & Paper Products,134.89,-1.19,10.57,45.44,40.87,142.26,167.51,3.84,Bearish,28.0,"Weak but watchable RSI, Near 52W low zone, Strong volume expansion",0.0,-1.98,,,General,40.0,2.0,42.0,14.39,1.04,-6.4,,14.46,-46.65,0.93,26.45,12.0,"Below 200 DMA, Negative free cash flow",13.67,Avoid,"Weak but watchable RSI, Near 52W low zone, Strong volume expansion"
