symbol,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons
PAVNAIND,Pavna Industries Limited,Consumer Cyclical,Auto Parts,Automobile,218.64,True,8.291,True,,False,1.1,True,52.07,True,,False,,False,3.95,True,2.3,True,34.54,True,52.1,True,,False,,False,,False,2.42,True,113.21,True,,False,,False,,False,0.081,True,0.0,10.0,4.0,0.0,10.0,24.0,0.43,,,2.0,26.0,General low-debt support
MFSL,Max Financial Services Limited,Financial Services,Insurance - Life,Financial Services,53520.28,True,499.6795,True,139.2631,True,10.133,True,36.453,True,,False,,False,1.19,True,0.22,True,11.77,True,16.8,True,37.3,True,,False,,False,2137.15,True,2340.29,True,,False,,False,,False,0.707,True,0.0,18.0,7.0,0.0,3.0,28.0,0.5,,Very high PE,-4.0,24.0,Expensive relative to book value for this sector
SURAJLTD,Suraj Limited,Basic Materials,Steel,Metals / Mining,368.73,True,44.2269,True,,False,2.6767,True,43.774,True,,False,,False,12.91,True,4.28,True,41.4,True,-22.5,True,30.9,True,,False,,False,0.12,True,60.3,True,,False,,False,1.49,True,0.369,True,3.0,10.0,7.0,0.0,7.0,27.0,0.57,,Revenue contraction,2.0,29.0,General low-debt support
SUPREMEINF,Supreme Infrastructure India Limited,Industrials,Engineering & Construction,Capital Goods / Infra,778.85,True,0.0924,True,,False,2.6831,True,632.067,True,,False,,False,0.78,True,75.64,True,24.53,True,189.8,True,,False,,False,,False,2.7,True,1460.22,True,,False,,False,,False,1.181,True,6.0,10.0,0.0,0.0,10.0,26.0,0.43,,Very high debt,5.0,31.0,Strong order-book-driven revenue growth
ROSSARI,Rossari Biotech Limited,Basic Materials,Specialty Chemicals,Chemicals,2425.99,True,16.1011,True,13.0342,True,1.8191,True,32.695,True,,False,,False,7.89,True,5.91,True,29.53,True,28.2,True,4.5,True,,False,,False,114.81,True,435.94,True,,False,,False,11.0,True,0.546,True,0.0,12.0,7.0,0.0,15.0,34.0,0.57,,,2.0,36.0,General low-debt support
MADHAV,Madhav Marbles and Granites Limited,Industrials,Building Products & Equipment,Capital Goods / Infra,31.73,True,,False,,False,0.2558,True,6.737,True,,False,,False,-7.34,True,-0.75,True,37.61,True,-1.5,True,,False,,False,,False,1.46,True,7.96,True,,False,,False,,False,0.463,True,0.0,0.0,9.0,0.0,4.0,13.0,0.36,,"Negative net margin, Revenue contraction",0.0,13.0,
MCL,M Tek Copper Limited,Basic Materials,Copper,Metals / Mining,151.84,True,33.903,True,,False,3.0261,True,82.894,True,,False,,False,3.31,True,1.67,True,9.5,True,73.7,True,2.6,True,,False,,False,0.47,True,41.61,True,,False,,False,,False,0.425,True,0.0,10.0,4.0,0.0,6.0,20.0,0.5,,,0.0,20.0,
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods,FMCG / Consumer,10551.54,True,19.919,True,17.4622,True,3.211,True,0.357,True,,False,,False,4.81,True,8.35,True,25.16,True,18.3,True,-42.1,True,,False,,False,1653.11,True,13.23,True,,False,,False,1.29,True,0.152,True,3.0,8.0,12.0,0.0,12.0,35.0,0.57,Cash covers debt,Earnings contraction,3.0,38.0,"Low debt, typical of a healthy consumer business"
ELPROINTL,Elpro International Limited,Real Estate,Real Estate Services,Cement / Realty,2924.02,True,22.6121,True,,False,1.4392,True,59.54,True,,False,,False,88.56,True,19.55,True,53.55,True,47.5,True,56.0,True,,False,,False,356.54,True,1208.96,True,,False,,False,,False,0.566,True,12.0,20.0,4.0,0.0,8.0,44.0,0.5,,,2.0,46.0,General low-debt support
NCLIND,NCL Industries Limited,Basic Materials,Building Materials,Cement / Realty,790.04,True,6.6234,True,5.6708,True,0.7949,True,31.936,True,,False,,False,8.45,True,6.32,True,51.31,True,1.5,True,-14.3,True,,False,,False,10.13,True,300.26,True,,False,,False,2.29,True,0.167,True,3.0,0.0,7.0,0.0,15.0,25.0,0.57,,Earnings contraction,2.0,27.0,General low-debt support
