symbol,sector,company_name
AUGMONT,Unknown,Augmont Enterprises Limited
AURIONPRO,Unknown,Aurionpro Solutions Limited
AUROPHARMA,Unknown,Aurobindo Pharma Limited
AURUM,Unknown,Aurum PropTech Limited
AURUS,Unknown,AURUS GEM CORPORATION LIMITED
AUSOMENT,Unknown,Ausom Enterprise Limited
AUSTENG,Unknown,Austin Engineering Company  Limited
AUTOAXLES,Unknown,Automotive Axles Limited
AUTOIND,Unknown,Autoline Industries Limited
AVADHSUGAR,Unknown,Avadh Sugar & Energy Limited
AVALON,Unknown,Avalon Technologies Limited
AVANCE,Unknown,Avance Technologies Limited
AVANTEL,Unknown,Avantel Limited
AVANTIFEED,Unknown,Avanti Feeds Limited
AVL,Unknown,Aditya Vision Limited
AVONMORE,Unknown,Avonmore Capital & Management Services Limited
AVROIND,Unknown,AVRO INDIA LIMITED
AVTNPL,Unknown,AVT Natural Products Limited
AWFIS,Unknown,Awfis Space Solutions Limited
AWHCL,Unknown,Antony Waste Handling Cell Limited
AWL,Unknown,AWL Agri Business Limited
AXISBANK,Unknown,Axis Bank Limited
AXISCADES,Unknown,AXISCADES Technologies Limited
AXITA,Unknown,Axita Cotton Limited
AXTEL,Unknown,Axtel Industries Limited
AYE,Unknown,Aye Finance Limited
AYMSYNTEX,Unknown,AYM Syntex Limited
AZAD,Unknown,Azad Engineering Limited
AZADIND,Unknown,Azad India Mobility Limited
BAGFILMS,Unknown,B.A.G Films and Media Limited
BAIDFIN,Unknown,Baid Finserv Limited
BAJAJ-AUTO,Unknown,Bajaj Auto Limited
BAJAJCON,Unknown,Bajaj Consumer Care Limited
BAJAJELEC,Unknown,Bajaj Electricals Limited
BAJAJFINSV,Unknown,Bajaj Finserv Limited
BAJAJHCARE,Unknown,Bajaj Healthcare Limited
BAJAJHFL,Unknown,Bajaj Housing Finance Limited
BAJAJHIND,Unknown,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Unknown,Bajaj Holdings & Investment Limited
BAJAJINDEF,Unknown,Indef Manufacturing Limited
BAJAJST,Unknown,Bajaj Steel Industries Limited
BAJEL,Unknown,Bajel Projects Limited
BAJFINANCE,Unknown,Bajaj Finance Limited
BALAJEE,Unknown,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE,Unknown,Balaji Telefilms Limited
BALAMINES,Unknown,Balaji Amines Limited
BALAXI,Unknown,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,Unknown,Balkrishna Paper Mills Limited
BALKRISIND,Unknown,Balkrishna Industries Limited
BALMLAWRIE,Unknown,Balmer Lawrie & Company Limited
BALPHARMA,Unknown,Bal Pharma Limited
BALRAMCHIN,Unknown,Balrampur Chini Mills Limited
BALUFORGE,Unknown,Balu Forge Industries Limited
BANARBEADS,Unknown,Banaras Beads Limited
BANARISUG,Unknown,Bannari Amman Sugars Limited
BANCOINDIA,Unknown,Banco Products (I) Limited
BANDHANBNK,Unknown,Bandhan Bank Limited
BANG,Unknown,Bang Overseas Limited
BANKA,Unknown,Banka BioLoo Limited
BANKBARODA,Unknown,Bank of Baroda
BANKINDIA,Unknown,Bank of India
BANSALWIRE,Unknown,Bansal Wire Industries Limited
BANSWRAS,Unknown,Banswara Syntex Limited
BASF,Unknown,BASF India Limited
BATAINDIA,Unknown,Bata India Limited
BATLIBOI,Unknown,Batliboi Limited
BAYERCROP,Unknown,Bayer Cropscience Limited
BBL,Unknown,Bharat Bijlee Limited
BBOX,Unknown,Black Box Limited
BBTC,Unknown,The Bombay Burmah Trading Corporation Limited
BBTCL,Unknown,B&B Triplewall Containers Limited
BCG,Unknown,Brightcom Group Limited
BCLIND,Unknown,Bcl Industries Limited
BCONCEPTS,Unknown,Brand Concepts Limited
BCPL,Unknown,BCPL Railway Infrastructure Limited
BDL,Unknown,Bharat Dynamics Limited
BEARDSELL,Unknown,Beardsell Limited
BECTORFOOD,Unknown,Mrs. Bectors Food Specialities Limited
BEDMUTHA,Unknown,Bedmutha Industries Limited
BEEKAY,Unknown,Beekay Steel Industries Limited
BEL,Unknown,Bharat Electronics Limited
BELLACASA,Unknown,Bella Casa Fashion & Retail Limited
BELRISE,Unknown,Belrise Industries Limited
BEML,Unknown,BEML Limited
BENARAS,Unknown,Benares Hotels Limited
BENGALASM,Unknown,Bengal & Assam Company Limited
BEPL,Unknown,Bhansali Engineering Polymers Limited
BERGEPAINT,Unknown,Berger Paints (I) Limited
BESTAGRO,Unknown,Best Agrolife Limited
BETA,Unknown,Beta Drugs Limited
BFINVEST,Unknown,BF Investment Limited
BFUTILITIE,Unknown,BF Utilities Limited
BHAGCHEM,Unknown,Bhagiradha Chemicals & Industries Limited
BHAGYANGR,Unknown,Bhagyanagar India Limited
BHANDARI,Unknown,Bhandari Hosiery Exports Limited
BHARATCOAL,Unknown,Bharat Coking Coal Limited
BHARATFORG,Unknown,Bharat Forge Limited
BHARATRAS,Unknown,Bharat Rasayan Limited
BHARATSE,Unknown,Bharat Seats Limited
BHARATWIRE,Unknown,Bharat Wire Ropes Limited
BHARTIARTL,Unknown,Bharti Airtel Limited
BHARTIHEXA,Unknown,Bharti Hexacom Limited
BHEL,Unknown,Bharat Heavy Electricals Limited
BIGBLOC,Unknown,Bigbloc Construction Limited
BIKAJI,Unknown,Bikaji Foods International Limited
BIL,Unknown,Bhartiya International Limited
BIMETAL,Unknown,Bimetal Bearings Limited
BIOCON,Unknown,Biocon Limited
BIOFILCHEM,Unknown,Biofil Chemicals & Pharmaceuticals Limited
BIRLACORPN,Unknown,Birla Corporation Limited
BIRLAMONEY,Unknown,Aditya Birla Money Limited
BIRLANU,Unknown,BirlaNu Limited
BIRLAPREC,Unknown,Birla Precision Technologies Limited
BLACKBUCK,Unknown,BLACKBUCK LIMITED
BLAL,Unknown,BEML Land Assets Limited
BLBLIMITED,Unknown,BLB Limited
BLEL,Unknown,Behari Lal Engineering Limited
BLIL,Unknown,Balmer Lawrie Investments Limited
BLKASHYAP,Unknown,B. L. Kashyap and Sons Limited
BLS,Unknown,BLS International Services Limited
BLSE,Unknown,BLS E-Services Limited
BLUECLOUDS,Unknown,Blue Cloud Softech Solutions Limited
BLUEDART,Unknown,Blue Dart Express Limited
BLUEJET,Unknown,Blue Jet Healthcare Limited
BLUESTARCO,Unknown,Blue Star Limited
BLUESTONE,Unknown,BlueStone Jewellery and Lifestyle Limited
BLUSPRING,Unknown,Bluspring Enterprises Limited
BMWVENTLTD,Unknown,BMW Ventures Limited
BNAGROCHEM,Unknown,BN Agrochem Limited
BODALCHEM,Unknown,Bodal Chemicals Limited
BOHRAIND,Unknown,Bohra Industries Limited
BOMDYEING,Unknown,Bombay Dyeing & Mfg Company Limited
BONLON,Unknown,Bonlon Industries Limited
BORANA,Unknown,Borana Weaves Limited
BOROLTD,Unknown,Borosil Limited
BORORENEW,Unknown,BOROSIL RENEWABLES LIMITED
BOROSCI,Unknown,Borosil Scientific Limited
BOSCH-HCIL,Unknown,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD,Unknown,Bosch Limited
BPCL,Unknown,Bharat Petroleum Corporation Limited
BPL,Unknown,BPL Limited
BPLPHARMA,Unknown,Bharat Parenterals Limited
BRAHMINFRA,Unknown,Brahmaputra Infrastructure Limited
BRIGADE,Unknown,Brigade Enterprises Limited
BRIGHOTEL,Unknown,Brigade Hotel Ventures Limited
BRIGHTBR,Unknown,Bright Brothers Limited
BRITANNIA,Unknown,Britannia Industries Limited
BRNL,Unknown,Bharat Road Network Limited
BSE,Unknown,BSE Limited
BSHSL,Unknown,Bombay Super Hybrid Seeds Limited
BSL,Unknown,BSL Limited
BSOFT,Unknown,BIRLASOFT LIMITED
BTML,Unknown,Bodhi Tree Multimedia Limited
BUILDPRO,Unknown,Shankara Buildpro Limited
BURNPUR,Unknown,Burnpur Cement Limited
BUTTERFLY,Unknown,Butterfly Gandhimathi Appliances Limited
BVCL,Unknown,Barak Valley Cements Limited
CAMLINFINE,Unknown,Camlin Fine Sciences Limited
CAMPUS,Unknown,Campus Activewear Limited
CAMS,Unknown,Computer Age Management Services Limited
CANBK,Unknown,Canara Bank
CANFINHOME,Unknown,Can Fin Homes Limited
CANHLIFE,Unknown,Canara HSBC Life Insurance Company Limited
CANTABIL,Unknown,Cantabil Retail India Limited
CAPACITE,Unknown,Capacit'e Infraprojects Limited
CAPILLARY,Unknown,Capillary Technologies India Limited
CAPITALSFB,Unknown,Capital Small Finance Bank Limited
CAPLIPOINT,Unknown,Caplin Point Laboratories Limited
CARBORUNIV,Unknown,Carborundum Universal Limited
CARERATING,Unknown,CARE Ratings Limited
CARRARO,Unknown,Carraro India Limited
CARTRADE,Unknown,Cartrade Tech Limited
CARYSIL,Unknown,CARYSIL LIMITED
CASTROLIND,Unknown,Castrol India Limited
CCAVENUE,Unknown,AvenuesAI Limited
CCCL,Unknown,Consolidated Construction Consortium Limited
CCHHL,Unknown,Country Club Hospitality & Holidays Limited
CCL,Unknown,CCL Products (India) Limited
CDSL,Unknown,Central Depository Services (India) Limited
CEATLTD,Unknown,CEAT Limited
CEIGALL,Unknown,Ceigall India Limited
CEINSYS,Unknown,Ceinsys Tech Limited
CELEBRITY,Unknown,Celebrity Fashions Limited
CELLO,Unknown,Cello World Limited
CEMPRO,Unknown,Cemindia Projects Limited
CENTENKA,Unknown,Century Enka Limited
CENTEXT,Unknown,Century Extrusions Limited
CENTRALBK,Unknown,Central Bank of India
CENTRUM,Unknown,Centrum Capital Limited
CENTUM,Unknown,Centum Electronics Limited
CENTURYPLY,Unknown,Century Plyboards (India) Limited
CERA,Unknown,Cera Sanitaryware Limited
CESC,Unknown,CESC Limited
CEWATER,Unknown,Concord Enviro Systems Limited
CFEL,Unknown,Confidence Futuristic Energetech Limited
CGCL,Unknown,Capri Global Capital Limited
CGPOWER,Unknown,CG Power and Industrial Solutions Limited
CGVAK,Unknown,CG Vak Software & Exports Limited
CHALET,Unknown,Chalet Hotels Limited
CHAMBLFERT,Unknown,Chambal Fertilizers & Chemicals Limited
CHEMBOND,Unknown,Chembond Material Technologies Limited
CHEMCRUX,Unknown,Chemcrux Enterprises Limited
CHEMFAB,Unknown,Chemfab Alkalis Limited
