symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
BHARATFORG,Consumer Cyclical,Auto Parts,2145.3,1.06,95.16,1.02,71.49,1941.07,1591.66,1.04,Bullish,57.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Normal volume support, Positive day move",15.0,10.66,,,Automobile,46.0,0.0,46.0,76.47,6.42,17.5,-18.0,1486.64,954.11,1.0,27.77,7.0,Earnings contraction,31.27,Avoid,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Normal volume support, Positive day move"
UNIONBANK,Financial Services,Banks - Regional,174.71,-0.07,40.17,14.98,58.25,169.63,163.26,0.86,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",8.0,3.55,,,Banking,22.0,6.0,28.0,,40.46,,,,,0.5,28.99,0.0,,31.15,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
NAUKRI,Communication Services,Internet Content & Information,978.85,-3.06,7.77,35.91,47.32,985.33,1180.35,2.07,Bearish,35.0,"RSI recovering, Near 52W low with stable RSI, Strong volume expansion",0.0,-2.66,,,Telecom,75.0,2.0,77.0,0.64,44.14,15.9,22.1,1076.43,873.98,1.0,22.57,8.0,Below 200 DMA,31.09,Avoid,"RSI recovering, Near 52W low with stable RSI, Strong volume expansion"
DRREDDY,Healthcare,Drug Manufacturers - Specialty & Generic,1350.5,1.66,17.6,1.85,69.78,1294.73,1265.76,1.09,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Positive day move",8.0,2.39,,,Pharma / Healthcare,45.0,2.0,47.0,18.61,10.0,-5.6,-68.7,4119.9,-390.96,1.0,32.3,11.0,"Earnings contraction, Negative free cash flow",31.04,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Positive day move"
NHPC,Utilities,Utilities - Renewable,79.4,0.11,10.86,9.4,59.23,78.77,78.77,0.3,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move",0.0,-1.59,,,Energy / Utilities,35.0,0.0,35.0,113.11,31.09,18.5,2.8,,,0.57,24.79,3.0,Low volume participation,30.47,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move"
INDIANB,Financial Services,Banks - Regional,832.6,-1.31,40.32,15.04,46.72,839.98,827.74,0.53,Bearish,27.0,"Above 200 DMA, RSI recovering",0.0,-0.09,,,Banking,49.0,6.0,55.0,,36.41,10.3,47.5,,,0.64,28.99,0.0,,30.35,Avoid,"Above 200 DMA, RSI recovering"
DMART,Consumer Defensive,Discount Stores,4294.6,-0.95,19.29,13.23,55.9,4293.0,4115.24,0.62,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone",8.0,4.13,,,General,22.0,2.0,24.0,9.91,4.29,14.9,11.4,,,0.5,23.99,0.0,,30.25,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone"
INDUSINDBK,Financial Services,Banks - Regional,918.95,-0.77,29.53,5.0,51.59,905.75,853.74,0.68,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",0.0,-1.43,,,Banking,31.0,0.0,31.0,,7.65,1.0,71.7,,,0.5,28.99,0.0,,30.2,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
HCLTECH,Technology,Information Technology Services,1100.7,-1.19,1.03,36.98,36.26,1182.73,1413.2,1.35,Bearish,26.0,"Weak but watchable RSI, Near 52W low with stable RSI, Volume expansion",0.0,-5.54,,,IT / Technology,74.0,5.0,79.0,7.06,12.97,3.0,8.4,213.5,181.3,1.0,27.02,8.0,Below 200 DMA,30.2,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI, Volume expansion"
PIRAMALFIN,Financial Services,Credit Services,2131.0,-0.18,70.09,2.02,65.07,1939.5,0.0,0.67,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",8.0,7.31,,,Financial Services,42.0,6.0,48.0,285.78,32.56,30.4,505.75,,,0.57,28.99,8.0,Very high debt,30.15,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
NH,Healthcare,Medical Care Facilities,1956.8,-0.09,23.15,17.25,59.33,1865.65,1820.5,0.85,Bullish,55.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W low zone",8.0,1.91,,,Pharma / Healthcare,27.0,0.0,27.0,129.03,8.98,80.4,5.4,,,0.57,32.3,0.0,,30.04,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W low zone"
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,25585.0,-0.04,1.73,29.89,38.0,26390.0,27858.6,1.51,Bearish,26.0,"Weak but watchable RSI, Near 52W low with stable RSI, Volume expansion",0.0,-7.75,,,Pharma / Healthcare,72.0,4.0,76.0,3.6,22.4,6.5,7.6,1319.24,1351.75,1.0,32.3,8.0,Below 200 DMA,29.94,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI, Volume expansion"
